merchant_id,business_age_days,merchant_category,merchant_category_name,city,city_tier,has_soundbox,qr_active,gst_registered,is_ghost,is_default,loan_history_count,prev_defaults,bsi_score,revenue_cv,transaction_entropy,settlement_regularity,active_days_ratio,avg_daily_revenue,revenue_trend_slope,device_session_entropy,location_variance,temporal_pattern_score,login_hour_entropy,transaction_velocity,unique_device_count,ip_change_frequency,weekend_activity_ratio,gnn_risk_score,neighbor_avg_default_rate,network_centrality,high_risk_neighbor_count,anomaly_score
M000010,1311,2,Medical/Pharmacy,Chennai,1,0,0,0,0,0,2,1,0.7646,0.5246,4.4527,0.8778,1.0,6216.77,1.4206,0.8329,0.1662,0.9547,0.4648,1.2966,1,2.1582,0.2701,0.2746,0.1667,0.0006,1,0.8755
M000011,646,0,Kirana/Grocery,Varanasi,3,1,0,0,0,0,2,0,0.7657,0.5451,4.4413,0.9222,1.0,1574.86,-1.6779,0.8571,0.1685,0.7685,0.622,1.3315,2,0.4131,0.5677,0.0432,0.0,0.0003,0,0.8843
M000012,410,3,Clothing/Textile,Nagpur,3,1,1,0,0,0,3,0,0.7211,0.6726,4.4422,0.9222,1.0,1308.36,-2.5426,0.8078,0.3818,0.2916,0.2622,1.3684,3,1.9888,0.2847,0.3237,0.1667,0.0012,2,0.8004
M000013,877,2,Medical/Pharmacy,Chennai,1,1,1,0,0,0,1,0,0.7166,0.6994,4.4507,0.9444,1.0,5454.5,-3.9324,0.928,0.1879,0.7328,0.2722,5.2322,4,6.2897,0.173,0.1654,0.2,0.001,2,0.8834
M000014,1238,4,Electronics,Mumbai,1,1,1,0,0,0,0,0,0.7659,0.5454,4.4478,0.9222,1.0,7917.88,-6.0813,0.645,0.2206,0.9655,0.4163,1.7374,6,0.3491,0.2496,0.4419,0.2857,0.0007,2,0.7814
M000015,332,4,Electronics,Bengaluru,1,1,1,1,0,0,0,0,0.7638,0.5602,4.465,0.9333,1.0,7542.54,-27.5815,0.8199,0.3855,0.6844,0.4347,2.8087,3,0.4926,0.3912,0.0724,0.0,0.0007,0,0.7955
M000016,785,7,Education/Tuition,Delhi,1,1,1,0,0,0,2,0,0.7869,0.4942,4.4647,0.9333,1.0,4176.82,-7.5399,0.7616,0.37,0.6242,0.4109,2.7886,2,1.3311,0.5723,0.1872,0.0,0.0008,0,0.7769
M000017,193,4,Electronics,Jaipur,2,1,1,0,0,1,1,0,0.7318,0.6364,4.446,0.9111,1.0,3879.83,-14.5362,0.7528,0.5118,0.5044,0.4108,3.9998,1,5.0197,0.092,0.5931,0.1429,0.0007,1,0.7236
M000018,1256,7,Education/Tuition,Jaipur,2,0,1,0,0,0,0,0,0.7327,0.6068,4.4343,0.8667,1.0,2007.68,-0.4082,0.5863,0.1511,0.8247,0.5859,5.6627,3,2.6484,0.2065,0.2311,0.0,0.0006,0,0.7552
M000019,1461,4,Electronics,Hyderabad,1,1,1,0,0,0,2,0,0.7888,0.5066,4.455,0.9667,1.0,7570.74,-7.2562,0.7052,0.2332,0.7664,0.6043,6.1454,3,0.4784,0.4111,0.1867,0.0,0.0002,0,0.7752
M000020,1263,7,Education/Tuition,Surat,2,1,1,0,0,1,2,2,0.7556,0.593,4.4412,0.9556,1.0,1921.55,-9.1641,0.7845,0.5074,0.4833,0.7047,1.394,3,1.3998,0.5891,0.5934,0.0,0.0002,0,0.7532
M000021,130,7,Education/Tuition,Delhi,1,1,1,0,0,0,1,1,0.6383,0.8918,4.4524,0.8889,1.0,4026.65,7.5564,0.7468,0.9059,0.5823,0.6161,5.3751,2,0.0852,0.4281,0.3926,0.1538,0.0013,2,0.5947
M000022,1499,7,Education/Tuition,Delhi,1,0,1,1,1,0,0,0,0.7415,0.6227,4.4559,0.9333,1.0,4462.36,12.3419,0.771,0.2426,0.0398,0.8037,1.8903,3,1.0641,0.4052,0.1134,0.125,0.0008,1,0.8243
M000023,927,3,Clothing/Textile,Jaipur,2,1,1,0,0,0,0,0,0.7476,0.5993,4.4581,0.9222,1.0,2537.59,1.7111,0.7476,0.0775,0.6442,0.2829,5.7176,5,0.188,0.5056,0.139,0.125,0.0008,1,0.8415
M000024,812,4,Electronics,Lucknow,2,0,1,0,0,0,0,1,0.7616,0.5512,4.4467,0.9111,1.0,3763.55,2.233,0.8003,0.27,0.7744,0.3988,8.034,3,2.4985,0.0779,0.222,0.0,0.0007,0,0.7909
M000025,397,3,Clothing/Textile,Indore,3,0,1,0,0,0,1,1,0.7175,0.6654,4.4512,0.8889,1.0,1203.73,-2.5081,0.7879,0.2658,0.8799,0.4473,4.5428,4,1.0367,0.3287,0.2542,0.0714,0.0014,1,0.8082
M000026,1292,6,Services/Salon,Bengaluru,1,0,1,1,0,0,3,1,0.7679,0.5275,4.4499,0.9,1.0,5091.59,-29.6514,0.3778,0.515,0.0803,0.3173,6.4474,1,0.3546,0.5563,0.1006,0.0,0.0002,0,0.5579
M000027,756,0,Kirana/Grocery,Pune,2,1,1,0,0,0,1,0,0.7727,0.5141,4.4517,0.9,1.0,3511.97,0.0678,0.914,0.1619,0.537,0.3512,5.5403,2,0.8416,0.0918,0.1207,0.0,0.0006,0,0.8838
M000028,1344,7,Education/Tuition,Surat,2,0,1,0,0,1,1,0,0.7367,0.6366,4.4566,0.9333,1.0,2218.75,-7.4275,0.7989,0.1152,0.8986,0.512,4.1742,1,0.6879,0.1359,0.758,0.25,0.0008,2,0.86
M000029,401,0,Kirana/Grocery,Chennai,1,1,1,0,0,0,1,0,0.7512,0.5942,4.449,0.9333,1.0,6600.86,9.8148,0.75,0.1784,0.5966,0.2871,5.4264,1,1.0606,0.4244,0.1501,0.1667,0.0006,1,0.8139
M000030,891,4,Electronics,Jaipur,2,0,1,0,0,0,0,1,0.7773,0.5319,4.4478,0.9556,1.0,3867.49,11.0724,0.8392,0.1992,0.9984,0.7489,5.9143,5,0.6758,0.1502,0.1555,0.0,0.0009,0,0.8404
M000031,1484,4,Electronics,Mumbai,1,0,1,0,0,0,0,0,0.7888,0.4754,4.459,0.9111,1.0,7359.97,-13.1829,0.7713,0.5562,0.9751,0.205,5.0675,8,1.161,0.5357,0.1417,0.0,0.0011,0,0.7113
M000032,309,4,Electronics,Hyderabad,1,1,1,0,0,0,3,1,0.6894,0.758,4.4491,0.9111,1.0,8241.53,8.1728,0.9179,0.0833,0.8619,0.8094,0.4744,5,3.054,0.1522,0.3944,0.1667,0.0012,2,0.9393
M000033,345,7,Education/Tuition,Varanasi,3,1,1,0,0,0,2,0,0.7472,0.5919,4.4437,0.9111,1.0,907.75,0.5247,0.6855,0.1027,0.5356,0.8251,2.1589,4,0.3075,0.3382,0.1014,0.1429,0.0007,1,0.8304
M000034,1130,0,Kirana/Grocery,Nagpur,3,1,1,1,0,0,1,0,0.7821,0.5252,4.4517,0.9667,1.0,1589.47,-4.9077,0.8566,0.2968,0.748,0.4333,2.0926,3,0.008,0.3514,0.0332,0.0,0.0008,0,0.841
M000035,845,2,Medical/Pharmacy,Indore,3,1,1,1,0,0,1,0,0.7573,0.5471,4.4645,0.8778,1.0,1275.41,-3.027,0.9713,0.5222,0.5098,0.5388,3.1426,2,1.1045,0.341,0.2554,0.0833,0.0012,1,0.813
M000036,180,0,Kirana/Grocery,Hyderabad,1,1,1,0,0,0,5,1,0.7879,0.4589,4.4592,0.8778,1.0,6624.09,-6.693,0.52,0.7081,0.8295,0.2475,4.7073,2,2.3606,0.1076,0.1921,0.125,0.0008,1,0.5673
M000037,1449,4,Electronics,Mumbai,1,0,1,0,0,1,0,1,0.7413,0.6046,4.4592,0.9,1.0,8020.36,-16.6384,0.6859,0.4224,0.9756,0.3229,5.065,2,0.6885,0.0598,0.4695,0.1667,0.0006,1,0.7172
M000038,1038,2,Medical/Pharmacy,Ahmedabad,2,1,1,0,0,0,1,1,0.7753,0.5389,4.4554,0.9556,1.0,2799.02,-6.5063,0.2111,0.5573,0.4213,0.3986,5.3281,2,0.0487,0.201,0.5866,0.5,0.0006,3,0.4853
M000039,1350,7,Education/Tuition,Lucknow,2,1,1,0,0,0,2,2,0.7423,0.6126,4.4461,0.9222,1.0,2180.35,-4.7339,0.4083,0.3616,0.6347,0.7245,9.2018,1,2.2413,0.2278,0.2882,0.2,0.001,2,0.5996
M000040,698,2,Medical/Pharmacy,Bengaluru,1,1,1,1,0,0,1,2,0.7317,0.6757,4.4525,0.9778,1.0,5387.35,-2.1729,0.7762,0.8723,0.5318,0.3641,3.4994,2,0.4626,0.1203,0.2065,0.0,0.0004,0,0.6278
M000041,436,1,Restaurant/Dhaba,Jaipur,2,0,1,0,0,0,0,0,0.7743,0.5102,4.4566,0.9,1.0,3107.67,-1.0577,0.495,0.0932,0.8023,0.2443,4.1426,4,0.0384,0.1085,0.2724,0.2,0.0005,1,0.7452
M000042,316,6,Services/Salon,Hyderabad,1,0,1,0,0,0,2,0,0.78,0.4939,4.4566,0.9,1.0,4747.67,3.4819,0.7136,0.1135,0.3211,0.2096,3.4603,2,0.3827,0.3079,0.2612,0.0,0.0004,0,0.8306
M000043,946,3,Clothing/Textile,Varanasi,3,1,1,0,0,0,0,0,0.7913,0.486,4.4496,0.9444,1.0,1143.05,0.1941,0.4608,0.0693,0.4826,0.6301,4.8858,2,0.4887,0.2535,0.2041,0.0,0.0008,0,0.7342
M000044,521,6,Services/Salon,Chennai,1,1,1,0,0,0,1,0,0.7656,0.552,4.4424,0.9333,1.0,4549.78,-15.8037,0.6276,0.7226,0.9353,0.5989,2.1516,3,4.7888,0.3738,0.1987,0.0,0.0013,0,0.6214
M000045,1062,4,Electronics,Surat,2,1,1,1,0,1,2,0,0.7407,0.6304,4.4496,0.9444,1.0,3981.93,-6.1756,0.3373,0.5023,0.8985,0.9628,3.5355,4,3.63,0.4281,0.7415,0.375,0.0008,3,0.563
M000046,1185,3,Clothing/Textile,Hyderabad,1,1,1,0,0,1,0,0,0.7281,0.6596,4.4456,0.9333,1.0,5621.44,-37.1078,0.7081,0.0225,0.8986,0.2824,3.6109,5,0.1686,0.1649,0.5131,0.2857,0.0007,2,0.8548
M000047,1130,1,Restaurant/Dhaba,Pune,2,1,1,0,0,1,2,0,0.6946,0.718,4.4506,0.8667,1.0,3072.89,-7.8569,0.6804,0.1754,0.3134,0.3267,6.5229,2,1.2099,0.2947,0.7373,0.25,0.0004,1,0.7804
M000048,767,3,Clothing/Textile,Lucknow,2,0,1,0,0,0,1,0,0.7754,0.5443,4.4513,0.9667,1.0,2477.71,-5.3267,0.3753,0.3631,0.4812,0.265,5.8136,1,1.5731,0.5498,0.2472,0.0,0.0004,0,0.6063
M000049,160,4,Electronics,Mumbai,1,1,1,0,0,0,4,0,0.7479,0.5978,4.4535,0.9222,1.0,7426.2,7.891,0.5974,0.3908,0.4033,0.4689,4.5209,2,1.208,0.2514,0.3312,0.1667,0.0006,1,0.6946
M000050,1026,1,Restaurant/Dhaba,Nagpur,3,1,1,1,0,0,2,0,0.7901,0.4782,4.4607,0.9222,1.0,1429.1,-4.7212,0.268,0.0834,0.5875,0.3073,5.0566,4,0.0657,0.3327,0.4073,0.2,0.001,2,0.6518
M000051,1465,3,Clothing/Textile,Indore,3,0,1,0,0,0,3,0,0.7596,0.5577,4.4519,0.9111,1.0,1264.84,-1.89,0.7581,0.3794,0.696,0.7517,1.4647,2,1.1557,0.2874,0.1163,0.0833,0.0012,1,0.7806
M000052,1143,7,Education/Tuition,Nagpur,3,1,1,0,1,0,0,0,0.7692,0.5303,4.4511,0.9111,1.0,1020.23,-0.1669,0.8292,0.5986,0.1652,0.7217,4.8613,2,0.617,0.5969,0.3449,0.1111,0.0009,1,0.7229
M000053,527,0,Kirana/Grocery,Nagpur,3,1,1,1,0,0,0,0,0.7621,0.5187,4.4495,0.8556,1.0,1514.3,-2.0926,0.9211,0.1417,0.8803,0.6672,0.3669,3,0.1746,0.2375,0.2838,0.2222,0.0009,2,0.9237
M000054,651,2,Medical/Pharmacy,Surat,2,1,1,0,0,0,3,1,0.7774,0.5318,4.4474,0.9556,1.0,3065.04,-8.3386,0.9145,0.8335,0.4481,0.4534,1.5461,1,2.0944,0.1873,0.2988,0.3333,0.0006,2,0.7065
M000055,918,6,Services/Salon,Nagpur,3,1,1,0,0,0,0,0,0.7417,0.6145,4.4466,0.9222,1.0,1326.95,-1.8014,0.8842,0.2251,0.7099,0.3609,3.9726,1,1.3587,0.3202,0.2629,0.0,0.0009,0,0.8623
M000056,383,1,Restaurant/Dhaba,Chennai,1,1,1,0,0,0,2,0,0.779,0.5157,4.4562,0.9333,1.0,5640.48,-18.8145,0.8328,0.4162,0.6758,0.2649,9.0396,2,0.971,0.3831,0.1467,0.125,0.0008,1,0.754
M000057,300,0,Kirana/Grocery,Bengaluru,1,0,1,1,1,0,0,0,0.788,0.5005,4.4416,0.9556,1.0,6432.05,-19.7512,0.7477,0.4306,0.05,0.7479,4.8362,4,0.021,0.4829,0.3803,0.3333,0.0003,1,0.7409
M000058,1445,4,Electronics,Chennai,1,0,0,1,0,1,0,1,0.754,0.5868,4.4545,0.9333,1.0,7917.69,-17.7392,0.7402,0.2303,0.5885,0.6737,5.2894,2,0.1464,0.1373,0.6295,0.1429,0.0007,1,0.7953
M000059,461,2,Medical/Pharmacy,Mumbai,1,1,1,1,0,0,0,0,0.7498,0.5998,4.4606,0.9333,1.0,5197.33,13.0279,0.5083,0.5962,0.3472,0.7138,13.5544,3,0.6132,0.363,0.1743,0.1429,0.0007,1,0.5431
M000060,768,6,Services/Salon,Surat,2,1,1,0,1,0,0,0,0.7415,0.6102,4.4578,0.9111,1.0,2602.03,1.0159,0.9388,0.7017,0.0413,0.4672,0.3098,3,0.4415,0.205,0.0756,0.0,0.0005,0,0.7632
M000061,501,1,Restaurant/Dhaba,Chennai,1,1,1,1,0,1,1,0,0.7463,0.5833,4.4545,0.8889,1.0,6416.1,-9.9744,0.7793,0.1752,0.4989,0.2164,1.3446,4,0.0029,0.2985,0.523,0.1667,0.0006,1,0.8511
M000062,1361,2,Medical/Pharmacy,Nagpur,3,1,1,1,0,0,3,1,0.7722,0.5221,4.4542,0.9111,1.0,1382.55,-4.9655,0.7521,0.2996,0.3032,0.6645,3.3115,1,0.16,0.0753,0.0749,0.0,0.0006,0,0.7911
M000063,537,5,Transport/Auto,Surat,2,1,1,0,0,0,4,0,0.7356,0.6274,4.4592,0.9111,1.0,2331.28,0.7326,0.7135,0.2509,0.5707,0.3258,1.4378,4,0.3038,0.1207,0.4123,0.1667,0.0006,1,0.8015
M000064,84,7,Education/Tuition,Hyderabad,1,1,1,1,0,1,1,1,0.6093,1.0739,4.4522,0.9333,1.0,4241.56,-14.9107,0.7724,0.2262,0.607,0.2877,0.6382,3,3.4747,0.4273,0.5307,0.1111,0.0009,1,0.8373
M000065,66,5,Transport/Auto,Lucknow,2,0,1,0,0,0,2,1,0.6573,0.8423,4.4424,0.9,1.0,2450.42,4.3709,0.282,0.0382,0.3835,0.5569,2.6639,1,0.3983,0.354,0.1279,0.0,0.0009,0,0.6854
M000066,929,1,Restaurant/Dhaba,Chennai,1,0,1,1,0,0,3,1,0.7877,0.4981,4.4619,0.9444,1.0,5948.73,6.8688,0.6822,0.6911,0.4855,0.5592,1.1774,1,0.1466,0.2475,0.2832,0.1667,0.0006,1,0.6585
M000067,84,1,Restaurant/Dhaba,Indore,3,0,1,0,0,0,1,0,0.6456,0.8949,4.4442,0.9333,1.0,1469.0,8.5593,0.6058,0.0273,0.4739,0.6842,17.6324,2,1.1461,0.1715,0.1417,0.0,0.0004,0,0.7283
M000068,553,3,Clothing/Textile,Delhi,1,0,1,0,0,1,1,0,0.7152,0.6653,4.4505,0.8778,1.0,5358.89,-15.4809,0.7949,0.3165,0.5058,0.8671,2.2682,2,1.0085,0.1688,0.5892,0.0,0.0009,0,0.8094
M000069,944,2,Medical/Pharmacy,Bhopal,3,1,1,1,0,0,2,0,0.75,0.5654,4.4461,0.8778,1.0,1349.56,-4.0727,0.4876,0.0888,0.6414,0.7187,8.3263,1,2.0317,0.1893,0.1324,0.1667,0.0012,2,0.7184
M000070,492,5,Transport/Auto,Indore,3,1,1,0,0,0,2,0,0.7858,0.4844,4.4613,0.9111,1.0,1047.7,-3.0291,0.7478,0.2996,0.5694,0.7627,0.3092,2,1.0383,0.4193,0.0384,0.0,0.0007,0,0.8074
M000071,726,6,Services/Salon,Bengaluru,1,1,1,1,0,0,0,1,0.7718,0.5072,4.43,0.8889,1.0,4575.85,-7.6588,0.8644,0.2615,0.7645,0.6355,4.7871,2,2.4122,0.1833,0.4627,0.6,0.0005,3,0.8386
M000072,745,5,Transport/Auto,Mumbai,1,0,1,1,0,0,2,0,0.7929,0.4877,4.4509,0.9556,1.0,4376.9,2.7815,0.2237,0.2522,0.9227,0.7028,6.6891,3,4.4889,0.2,0.3287,0.1429,0.0007,1,0.5737
M000073,1264,2,Medical/Pharmacy,Bhopal,3,0,1,0,0,0,1,0,0.7768,0.509,4.4546,0.9111,1.0,1416.66,-2.0837,0.8986,0.1527,0.8212,0.5792,1.2927,3,0.2453,0.1733,0.114,0.15,0.002,3,0.9059
M000074,1279,5,Transport/Auto,Pune,2,0,1,1,1,0,0,0,0.7367,0.6095,4.4438,0.8889,1.0,2164.72,-0.7217,0.5933,0.3577,0.1869,0.7525,10.1076,1,0.5111,0.2182,0.1469,0.0,0.0005,0,0.6694
M000075,1060,6,Services/Salon,Ahmedabad,2,0,1,1,0,0,0,0,0.7835,0.4966,4.4565,0.9222,1.0,2305.17,0.053,0.6776,0.3443,0.5509,0.3711,3.5936,2,1.4115,0.1827,0.171,0.0,0.0004,0,0.7462
M000076,761,0,Kirana/Grocery,Kochi,3,1,1,1,0,0,1,0,0.7612,0.558,4.44,0.9222,1.0,1711.72,3.5679,0.8627,0.3894,0.5521,0.4327,3.7413,2,0.7657,0.3792,0.2441,0.0,0.0005,0,0.8058
M000077,1018,7,Education/Tuition,Hyderabad,1,0,1,0,0,1,3,0,0.7036,0.7372,4.4534,0.9444,1.0,4494.03,-6.1719,0.1872,0.3776,0.6728,0.7876,3.8283,3,3.1305,0.2738,0.6451,0.1429,0.0007,1,0.5386
M000078,241,5,Transport/Auto,Ahmedabad,2,0,1,0,0,1,1,0,0.748,0.5834,4.4441,0.9,1.0,2466.44,-7.844,0.7849,0.436,0.4488,0.545,3.1923,5,0.0662,0.2246,0.6757,0.2,0.0005,1,0.764
M000079,1242,7,Education/Tuition,Bengaluru,1,1,1,1,0,0,1,0,0.7827,0.4918,4.4529,0.9111,1.0,3881.92,8.7848,0.9222,0.2581,0.9192,0.9204,6.8562,2,1.2901,0.2009,0.1261,0.1429,0.0007,1,0.8503
M000080,1128,5,Transport/Auto,Bhopal,3,0,1,1,0,0,2,0,0.7523,0.5829,4.4376,0.9222,1.0,1048.72,2.4736,0.7475,0.415,0.8784,0.2403,4.6842,1,0.1589,0.2676,0.1754,0.0833,0.0012,1,0.7464
M000081,783,4,Electronics,Surat,2,0,1,1,1,0,0,0,0.7831,0.4957,4.4433,0.9222,1.0,3777.35,-4.9711,0.749,0.1025,0.1246,0.5924,1.5889,3,0.5073,0.3222,0.1165,0.0,0.0002,0,0.8593
M000082,1167,0,Kirana/Grocery,Chennai,1,1,1,1,0,0,2,0,0.7708,0.5208,4.4629,0.9,1.0,6553.35,-5.7958,0.8222,0.4662,0.7022,0.7528,5.3011,5,0.1913,0.2156,0.2166,0.2,0.001,2,0.7572
M000083,1204,3,Clothing/Textile,Hyderabad,1,1,1,0,0,1,1,0,0.7383,0.6036,4.4353,0.8889,1.0,5758.01,-13.3556,0.5186,0.4602,0.9046,0.5991,5.1217,2,0.2807,0.3584,0.5666,0.0,0.0001,0,0.6386
M000084,465,1,Restaurant/Dhaba,Chennai,1,1,1,0,0,0,1,1,0.7564,0.5497,4.4651,0.8778,1.0,6939.03,-11.4365,0.6289,0.3795,0.8189,0.6463,0.7799,2,4.6735,0.3813,0.4679,0.3636,0.0011,4,0.733
M000085,113,6,Services/Salon,Delhi,1,1,1,1,0,0,1,0,0.76,0.5448,4.4577,0.8889,1.0,5254.87,-17.3098,0.9063,0.3603,0.7032,0.4627,4.3245,2,0.182,0.4793,0.2894,0.2857,0.0007,2,0.8285
M000086,1265,5,Transport/Auto,Jaipur,2,1,1,0,0,0,0,0,0.7585,0.5746,4.4582,0.9333,1.0,2171.22,-0.0905,0.5595,0.0253,0.4109,0.248,2.9661,4,0.8846,0.1608,0.2593,0.25,0.0004,1,0.7984
M000087,808,6,Services/Salon,Jaipur,2,1,1,0,0,0,1,0,0.7592,0.5855,4.4601,0.9556,1.0,2549.73,-6.4837,0.2378,0.0948,0.7218,0.4549,4.7566,1,0.3057,0.2198,0.1875,0.0,0.0006,0,0.6381
M000088,863,3,Clothing/Textile,Bhopal,3,1,1,1,0,0,0,1,0.7574,0.5702,4.4503,0.9222,1.0,1230.43,-2.7052,0.7716,0.1367,0.3484,0.5312,1.1494,4,0.2956,0.304,0.0688,0.0,0.0011,0,0.8607
M000089,490,3,Clothing/Textile,Surat,2,1,1,1,0,0,3,0,0.7623,0.5515,4.461,0.9111,1.0,2329.3,-2.6124,0.836,0.2901,0.7388,0.3565,3.3083,2,0.2923,0.1119,0.2603,0.1,0.001,1,0.8275
M000090,206,0,Kirana/Grocery,Delhi,1,0,1,1,0,0,1,1,0.7712,0.5617,4.4442,0.9778,1.0,7902.65,-6.5577,0.6819,0.0881,0.4675,0.2056,1.7772,3,0.5421,0.282,0.4606,0.3333,0.0006,2,0.8357
M000091,341,6,Services/Salon,Lucknow,2,1,1,0,0,0,2,1,0.7723,0.5351,4.4575,0.9333,1.0,2288.46,-16.3936,0.2162,0.0992,0.8669,0.8599,11.4326,2,0.7513,0.3537,0.0351,0.0,0.0003,0,0.5881
M000092,1212,1,Restaurant/Dhaba,Nagpur,3,0,1,0,0,0,1,1,0.7692,0.5431,4.4525,0.9333,1.0,1357.12,1.5458,0.894,0.3296,0.5188,0.8926,1.6374,3,1.4806,0.5776,0.048,0.0,0.0002,0,0.8489
M000093,215,4,Electronics,Lucknow,2,1,0,1,0,0,0,2,0.7663,0.5339,4.4638,0.9,1.0,3713.1,-11.4445,0.7712,0.1333,0.1214,0.526,2.1812,1,0.4624,0.2193,0.0019,0.0,0.0002,0,0.8554
M000094,1362,3,Clothing/Textile,Indore,3,1,1,0,0,0,1,0,0.7626,0.5621,4.4535,0.9333,1.0,1176.25,0.1132,0.7305,0.1556,0.1556,0.3907,11.1208,2,2.5493,0.2261,0.1953,0.0909,0.0011,1,0.7788
M000095,275,4,Electronics,Jaipur,2,1,1,0,0,0,0,0,0.7709,0.5266,4.46,0.9111,1.0,3589.74,-4.885,0.8419,0.1732,0.8426,0.3195,1.6843,3,1.2,0.5805,0.3556,0.2143,0.0014,3,0.8747
M000096,1046,1,Restaurant/Dhaba,Jaipur,2,0,1,1,0,0,1,0,0.7782,0.5171,4.4495,0.9333,1.0,2810.47,-2.1468,0.7776,0.3258,0.7932,0.3966,5.0366,2,1.3182,0.3723,0.1828,0.0,0.0009,0,0.7831
M000097,413,1,Restaurant/Dhaba,Pune,2,1,1,0,1,0,0,0,0.7749,0.5525,4.4535,0.9778,1.0,2980.01,-2.0028,0.6064,0.1218,0.5263,0.9821,1.1112,4,1.5145,0.2044,0.2812,0.125,0.0008,1,0.7994
M000098,1095,7,Education/Tuition,Delhi,1,1,1,1,0,0,2,1,0.7625,0.5602,4.4376,0.9333,1.0,4200.88,-13.3071,0.8299,0.0805,0.6019,0.748,1.3322,4,1.9942,0.5476,0.2405,0.125,0.0008,1,0.8998
M000099,314,0,Kirana/Grocery,Delhi,1,1,1,1,0,0,0,0,0.7563,0.5677,4.4548,0.9111,1.0,6852.38,-12.144,0.8658,0.1972,0.5239,0.4147,1.5463,2,0.2216,0.196,0.0364,0.0,0.0007,0,0.8779
M000100,1009,6,Services/Salon,Mumbai,1,1,1,0,1,0,0,0,0.7781,0.5108,4.4488,0.9222,1.0,4873.91,-9.2176,0.5316,0.091,0.068,0.6904,4.9023,1,4.2012,0.258,0.1456,0.0,0.0005,0,0.7559
M000101,1017,2,Medical/Pharmacy,Lucknow,2,1,1,0,0,0,1,0,0.7328,0.609,4.4521,0.8667,1.0,2790.76,-2.0694,0.8414,0.0672,0.8715,0.2914,3.1073,1,0.5316,0.1147,0.2401,0.0,0.0011,0,0.8978
M000102,329,6,Services/Salon,Mumbai,1,1,1,1,0,0,3,1,0.7735,0.5243,4.4508,0.9222,1.0,4933.93,-5.3071,0.7548,0.4239,0.3299,0.7599,1.0419,2,0.2442,0.1819,0.3755,0.4286,0.0007,3,0.7685
