merchant_id,business_age_days,merchant_category,merchant_category_name,city,city_tier,has_soundbox,qr_active,gst_registered
M000046,1185,3,Clothing/Textile,Hyderabad,1,1,1,0
M000047,1130,1,Restaurant/Dhaba,Pune,2,1,1,0
M000048,767,3,Clothing/Textile,Lucknow,2,0,1,0
M000049,160,4,Electronics,Mumbai,1,1,1,0
M000050,1026,1,Restaurant/Dhaba,Nagpur,3,1,1,1
M000051,1465,3,Clothing/Textile,Indore,3,0,1,0
M000052,1143,7,Education/Tuition,Nagpur,3,1,1,0
M000053,527,0,Kirana/Grocery,Nagpur,3,1,1,1
M000054,651,2,Medical/Pharmacy,Surat,2,1,1,0
M000055,918,6,Services/Salon,Nagpur,3,1,1,0
M000056,383,1,Restaurant/Dhaba,Chennai,1,1,1,0
M000057,300,0,Kirana/Grocery,Bengaluru,1,0,1,1
M000058,1445,4,Electronics,Chennai,1,0,0,1
M000059,461,2,Medical/Pharmacy,Mumbai,1,1,1,1
M000060,768,6,Services/Salon,Surat,2,1,1,0
M000061,501,1,Restaurant/Dhaba,Chennai,1,1,1,1
M000062,1361,2,Medical/Pharmacy,Nagpur,3,1,1,1
M000063,537,5,Transport/Auto,Surat,2,1,1,0
M000064,84,7,Education/Tuition,Hyderabad,1,1,1,1
M000065,66,5,Transport/Auto,Lucknow,2,0,1,0
M000066,929,1,Restaurant/Dhaba,Chennai,1,0,1,1
M000067,84,1,Restaurant/Dhaba,Indore,3,0,1,0
M000068,553,3,Clothing/Textile,Delhi,1,0,1,0
M000069,944,2,Medical/Pharmacy,Bhopal,3,1,1,1
M000070,492,5,Transport/Auto,Indore,3,1,1,0
M000071,726,6,Services/Salon,Bengaluru,1,1,1,1
M000072,745,5,Transport/Auto,Mumbai,1,0,1,1
M000073,1264,2,Medical/Pharmacy,Bhopal,3,0,1,0
M000074,1279,5,Transport/Auto,Pune,2,0,1,1
M000075,1060,6,Services/Salon,Ahmedabad,2,0,1,1
M000076,761,0,Kirana/Grocery,Kochi,3,1,1,1
M000077,1018,7,Education/Tuition,Hyderabad,1,0,1,0
M000078,241,5,Transport/Auto,Ahmedabad,2,0,1,0
M000079,1242,7,Education/Tuition,Bengaluru,1,1,1,1
M000080,1128,5,Transport/Auto,Bhopal,3,0,1,1
M000081,783,4,Electronics,Surat,2,0,1,1
M000082,1167,0,Kirana/Grocery,Chennai,1,1,1,1
M000083,1204,3,Clothing/Textile,Hyderabad,1,1,1,0
M000084,465,1,Restaurant/Dhaba,Chennai,1,1,1,0
M000085,113,6,Services/Salon,Delhi,1,1,1,1
M000086,1265,5,Transport/Auto,Jaipur,2,1,1,0
M000087,808,6,Services/Salon,Jaipur,2,1,1,0
M000088,863,3,Clothing/Textile,Bhopal,3,1,1,1
M000089,490,3,Clothing/Textile,Surat,2,1,1,1
M000090,206,0,Kirana/Grocery,Delhi,1,0,1,1
M000091,341,6,Services/Salon,Lucknow,2,1,1,0
M000092,1212,1,Restaurant/Dhaba,Nagpur,3,0,1,0
M000093,215,4,Electronics,Lucknow,2,1,0,1
M000094,1362,3,Clothing/Textile,Indore,3,1,1,0
M000095,275,4,Electronics,Jaipur,2,1,1,0
M000096,1046,1,Restaurant/Dhaba,Jaipur,2,0,1,1
M000097,413,1,Restaurant/Dhaba,Pune,2,1,1,0
M000098,1095,7,Education/Tuition,Delhi,1,1,1,1
M000099,314,0,Kirana/Grocery,Delhi,1,1,1,1
M000100,1009,6,Services/Salon,Mumbai,1,1,1,0
M000101,1017,2,Medical/Pharmacy,Lucknow,2,1,1,0
M000102,329,6,Services/Salon,Mumbai,1,1,1,1
M000103,930,5,Transport/Auto,Ahmedabad,2,1,1,1
M000104,1489,0,Kirana/Grocery,Kochi,3,0,1,0
M000105,1422,6,Services/Salon,Bengaluru,1,0,1,0
M000106,903,4,Electronics,Pune,2,1,1,1
M000107,515,7,Education/Tuition,Kochi,3,1,1,1
M000108,465,6,Services/Salon,Chennai,1,0,1,0
M000109,835,0,Kirana/Grocery,Chennai,1,1,1,0
M000110,1481,1,Restaurant/Dhaba,Mumbai,1,1,1,1
M000111,210,7,Education/Tuition,Bengaluru,1,1,1,1
M000112,912,3,Clothing/Textile,Kochi,3,1,0,0
M000113,906,7,Education/Tuition,Varanasi,3,0,1,1
M000114,723,7,Education/Tuition,Ahmedabad,2,0,1,1
M000115,369,5,Transport/Auto,Varanasi,3,0,1,0
M000116,520,5,Transport/Auto,Varanasi,3,0,1,1
M000117,524,2,Medical/Pharmacy,Mumbai,1,0,1,0
M000118,759,1,Restaurant/Dhaba,Kochi,3,1,0,0
M000119,1216,5,Transport/Auto,Pune,2,0,1,1
M000120,485,7,Education/Tuition,Indore,3,1,1,1
M000121,1145,5,Transport/Auto,Kochi,3,0,0,1
M000122,134,3,Clothing/Textile,Delhi,1,1,1,0
M000123,748,4,Electronics,Hyderabad,1,1,1,0
M000124,468,4,Electronics,Mumbai,1,1,1,0
M000125,1381,4,Electronics,Lucknow,2,1,1,0
M000126,680,0,Kirana/Grocery,Kochi,3,1,0,1
M000127,538,4,Electronics,Varanasi,3,1,1,0
M000128,280,4,Electronics,Bengaluru,1,0,1,0
M000129,994,0,Kirana/Grocery,Jaipur,2,0,1,0
M000130,1244,7,Education/Tuition,Ahmedabad,2,0,1,1
M000131,76,7,Education/Tuition,Mumbai,1,0,1,1
M000132,908,7,Education/Tuition,Mumbai,1,0,1,0
M000133,1304,3,Clothing/Textile,Hyderabad,1,0,1,0
M000134,1047,1,Restaurant/Dhaba,Nagpur,3,1,1,0
M000135,804,5,Transport/Auto,Bengaluru,1,1,1,1
M000136,914,2,Medical/Pharmacy,Pune,2,0,1,1
M000137,93,5,Transport/Auto,Ahmedabad,2,1,1,0
M000138,349,7,Education/Tuition,Pune,2,1,1,0
M000139,889,7,Education/Tuition,Indore,3,0,1,0
M000140,809,4,Electronics,Nagpur,3,1,1,0
M000141,1345,4,Electronics,Hyderabad,1,1,1,0
M000142,58,6,Services/Salon,Lucknow,2,1,1,0
M000143,466,5,Transport/Auto,Bengaluru,1,0,1,0
M000144,792,7,Education/Tuition,Delhi,1,0,1,0
M000145,765,5,Transport/Auto,Mumbai,1,1,1,0
M000146,1100,6,Services/Salon,Jaipur,2,1,1,0
M000147,1470,4,Electronics,Surat,2,1,1,0
M000148,480,7,Education/Tuition,Delhi,1,1,1,0
M000149,662,0,Kirana/Grocery,Mumbai,1,1,1,0
M000150,1127,7,Education/Tuition,Kochi,3,1,1,1
M000151,1106,0,Kirana/Grocery,Delhi,1,1,1,1
M000152,262,0,Kirana/Grocery,Mumbai,1,1,1,1
M000153,229,2,Medical/Pharmacy,Lucknow,2,1,1,0
M000154,703,1,Restaurant/Dhaba,Varanasi,3,1,1,1
M000155,578,4,Electronics,Chennai,1,1,1,0
M000156,966,3,Clothing/Textile,Lucknow,2,1,1,0
M000157,126,5,Transport/Auto,Kochi,3,1,1,0
M000158,78,5,Transport/Auto,Mumbai,1,1,1,0
M000159,925,4,Electronics,Lucknow,2,1,1,0
M000160,551,4,Electronics,Ahmedabad,2,1,1,0
M000161,69,4,Electronics,Surat,2,1,1,0
M000162,943,5,Transport/Auto,Surat,2,0,1,1
M000163,1206,6,Services/Salon,Lucknow,2,1,1,1
M000164,1159,4,Electronics,Hyderabad,1,1,1,0
M000165,582,5,Transport/Auto,Bhopal,3,1,1,1
M000166,705,1,Restaurant/Dhaba,Chennai,1,1,1,0
M000167,799,3,Clothing/Textile,Chennai,1,1,1,1
M000168,240,0,Kirana/Grocery,Delhi,1,1,1,0
M000169,1255,6,Services/Salon,Jaipur,2,1,1,1
M000170,462,3,Clothing/Textile,Pune,2,1,1,1
M000171,736,4,Electronics,Chennai,1,0,1,0
M000172,594,3,Clothing/Textile,Lucknow,2,1,1,0
M000173,176,4,Electronics,Hyderabad,1,1,1,1
M000174,311,3,Clothing/Textile,Ahmedabad,2,0,1,1
M000175,1363,2,Medical/Pharmacy,Hyderabad,1,1,1,0
M000176,784,7,Education/Tuition,Lucknow,2,0,1,1
M000177,1104,3,Clothing/Textile,Lucknow,2,0,1,0
M000178,524,7,Education/Tuition,Bhopal,3,0,1,1
M000179,438,0,Kirana/Grocery,Chennai,1,1,0,1
M000180,302,0,Kirana/Grocery,Bengaluru,1,1,0,0
M000181,487,6,Services/Salon,Mumbai,1,0,1,0
M000182,1173,3,Clothing/Textile,Varanasi,3,1,1,0
M000183,75,5,Transport/Auto,Varanasi,3,0,1,1
M000184,1296,7,Education/Tuition,Bengaluru,1,1,1,0
M000185,340,5,Transport/Auto,Lucknow,2,0,1,0
M000186,591,5,Transport/Auto,Bhopal,3,1,1,0
M000187,360,3,Clothing/Textile,Ahmedabad,2,1,1,1
M000188,40,5,Transport/Auto,Lucknow,2,1,0,0
M000189,937,1,Restaurant/Dhaba,Bengaluru,1,1,1,1
M000190,1477,3,Clothing/Textile,Bengaluru,1,1,1,0
M000191,1101,0,Kirana/Grocery,Varanasi,3,1,1,1
M000192,1430,7,Education/Tuition,Kochi,3,1,1,0
M000193,37,6,Services/Salon,Pune,2,1,1,0
M000194,1013,5,Transport/Auto,Delhi,1,1,1,0
M000195,1423,2,Medical/Pharmacy,Mumbai,1,1,1,0
M000196,1493,5,Transport/Auto,Ahmedabad,2,1,1,1
M000197,595,0,Kirana/Grocery,Nagpur,3,1,1,1
M000198,302,1,Restaurant/Dhaba,Varanasi,3,1,1,1
M000199,970,3,Clothing/Textile,Varanasi,3,1,0,0
M000200,930,5,Transport/Auto,Surat,2,0,1,0
M000201,160,2,Medical/Pharmacy,Bengaluru,1,1,1,1
M000202,753,7,Education/Tuition,Hyderabad,1,1,1,1
M000203,663,6,Services/Salon,Indore,3,1,1,0
M000204,143,0,Kirana/Grocery,Ahmedabad,2,1,1,1
M000205,561,6,Services/Salon,Bengaluru,1,1,1,1
M000206,1392,6,Services/Salon,Delhi,1,1,1,1
M000207,1074,2,Medical/Pharmacy,Jaipur,2,1,1,0
M000208,62,7,Education/Tuition,Delhi,1,1,1,1
M000209,162,4,Electronics,Chennai,1,1,1,0
M000210,949,0,Kirana/Grocery,Pune,2,1,1,1
M000211,1004,4,Electronics,Lucknow,2,1,1,1
M000212,55,2,Medical/Pharmacy,Jaipur,2,0,1,0
M000213,1417,3,Clothing/Textile,Bengaluru,1,0,1,1
M000214,630,3,Clothing/Textile,Lucknow,2,1,1,0
M000215,1145,3,Clothing/Textile,Mumbai,1,1,1,0
M000216,574,6,Services/Salon,Mumbai,1,1,1,0
M000217,1291,4,Electronics,Surat,2,1,1,0
M000218,47,6,Services/Salon,Ahmedabad,2,1,1,1
M000219,1327,3,Clothing/Textile,Bhopal,3,1,1,0
M000220,963,6,Services/Salon,Pune,2,1,1,0
M000221,318,1,Restaurant/Dhaba,Lucknow,2,1,1,0
M000222,1080,0,Kirana/Grocery,Delhi,1,1,1,0
M000223,846,0,Kirana/Grocery,Lucknow,2,1,1,0
M000224,1487,7,Education/Tuition,Hyderabad,1,1,1,1
M000225,137,6,Services/Salon,Bengaluru,1,1,1,1
M000226,1002,7,Education/Tuition,Kochi,3,1,1,1
M000227,977,2,Medical/Pharmacy,Surat,2,0,1,1
M000228,767,5,Transport/Auto,Bhopal,3,0,1,0
M000229,353,4,Electronics,Surat,2,1,1,0
M000230,896,0,Kirana/Grocery,Nagpur,3,0,1,0
M000231,764,6,Services/Salon,Jaipur,2,1,1,1
M000232,822,4,Electronics,Jaipur,2,1,1,0
M000233,1157,2,Medical/Pharmacy,Ahmedabad,2,1,1,0
M000234,1385,3,Clothing/Textile,Bengaluru,1,1,1,0
M000235,1415,5,Transport/Auto,Jaipur,2,1,1,0
M000236,318,2,Medical/Pharmacy,Bengaluru,1,1,1,1
M000237,1497,1,Restaurant/Dhaba,Chennai,1,1,1,1
M000238,1090,3,Clothing/Textile,Jaipur,2,1,1,1
M000239,1401,3,Clothing/Textile,Delhi,1,0,1,0
M000240,921,3,Clothing/Textile,Bhopal,3,1,1,0
M000241,72,2,Medical/Pharmacy,Kochi,3,0,1,0
M000242,1179,1,Restaurant/Dhaba,Varanasi,3,1,0,0
M000243,38,5,Transport/Auto,Jaipur,2,0,1,1
M000244,1184,4,Electronics,Hyderabad,1,0,1,0
M000245,1378,2,Medical/Pharmacy,Bhopal,3,1,1,0
M000246,213,0,Kirana/Grocery,Lucknow,2,1,1,0
M000247,1335,0,Kirana/Grocery,Varanasi,3,1,1,0
M000248,924,2,Medical/Pharmacy,Indore,3,0,1,0
M000249,1106,4,Electronics,Bhopal,3,1,1,1
M000250,899,0,Kirana/Grocery,Hyderabad,1,1,1,0
M000251,562,4,Electronics,Surat,2,1,1,0
M000252,1430,3,Clothing/Textile,Bhopal,3,0,1,1
M000253,1348,2,Medical/Pharmacy,Chennai,1,1,1,0
M000254,1261,3,Clothing/Textile,Mumbai,1,1,1,0
M000255,1029,0,Kirana/Grocery,Surat,2,1,1,1
M000256,692,4,Electronics,Indore,3,1,1,0
M000257,983,3,Clothing/Textile,Ahmedabad,2,1,1,0
M000258,98,0,Kirana/Grocery,Jaipur,2,1,1,1
M000259,1490,6,Services/Salon,Hyderabad,1,1,1,0
M000260,330,1,Restaurant/Dhaba,Surat,2,1,1,1
M000261,56,3,Clothing/Textile,Bhopal,3,1,1,1
M000262,959,1,Restaurant/Dhaba,Hyderabad,1,1,1,1
M000263,683,1,Restaurant/Dhaba,Surat,2,1,1,1
M000264,582,5,Transport/Auto,Indore,3,0,1,1
M000265,135,7,Education/Tuition,Pune,2,1,1,0
M000266,615,0,Kirana/Grocery,Pune,2,1,1,1
M000267,601,2,Medical/Pharmacy,Jaipur,2,0,1,0
M000268,839,4,Electronics,Ahmedabad,2,1,1,0
M000269,663,6,Services/Salon,Hyderabad,1,1,1,1
M000270,1064,0,Kirana/Grocery,Varanasi,3,1,1,1
M000271,960,5,Transport/Auto,Kochi,3,1,1,1
M000272,688,5,Transport/Auto,Kochi,3,0,1,1
M000273,1269,6,Services/Salon,Kochi,3,1,1,0
M000274,915,3,Clothing/Textile,Surat,2,1,1,1
M000275,350,4,Electronics,Surat,2,0,1,1
M000276,489,5,Transport/Auto,Nagpur,3,1,1,1
M000277,608,2,Medical/Pharmacy,Jaipur,2,1,1,0
M000278,906,0,Kirana/Grocery,Jaipur,2,0,1,0
M000279,783,2,Medical/Pharmacy,Kochi,3,1,1,1
M000280,189,3,Clothing/Textile,Bhopal,3,1,1,0
M000281,493,7,Education/Tuition,Chennai,1,1,1,0
M000282,1027,0,Kirana/Grocery,Jaipur,2,1,1,1
M000283,1326,3,Clothing/Textile,Hyderabad,1,1,1,0
M000284,270,4,Electronics,Ahmedabad,2,0,1,1
M000285,965,4,Electronics,Mumbai,1,1,1,1
M000286,993,7,Education/Tuition,Pune,2,1,1,0
M000287,988,2,Medical/Pharmacy,Jaipur,2,1,1,0
M000288,894,2,Medical/Pharmacy,Chennai,1,0,1,0
M000289,1220,4,Electronics,Ahmedabad,2,1,1,0
M000290,679,1,Restaurant/Dhaba,Hyderabad,1,1,1,1
M000291,356,4,Electronics,Chennai,1,1,0,0
M000292,894,6,Services/Salon,Nagpur,3,1,1,1
M000293,558,0,Kirana/Grocery,Lucknow,2,1,0,0
M000294,1326,6,Services/Salon,Bengaluru,1,0,1,1
M000295,908,3,Clothing/Textile,Pune,2,1,1,1
M000296,1429,4,Electronics,Varanasi,3,1,1,1
M000297,1428,4,Electronics,Chennai,1,1,1,1
M000298,363,7,Education/Tuition,Ahmedabad,2,0,1,1
M000299,1056,7,Education/Tuition,Hyderabad,1,1,1,1
M000300,1296,5,Transport/Auto,Bengaluru,1,0,1,1
M000301,1104,3,Clothing/Textile,Surat,2,0,1,1
M000302,911,5,Transport/Auto,Pune,2,1,1,1
M000303,379,3,Clothing/Textile,Ahmedabad,2,0,1,1
M000304,203,6,Services/Salon,Ahmedabad,2,1,1,1
M000305,145,0,Kirana/Grocery,Bhopal,3,1,1,0
M000306,390,3,Clothing/Textile,Pune,2,0,1,0
M000307,1408,2,Medical/Pharmacy,Hyderabad,1,1,1,0
M000308,105,7,Education/Tuition,Kochi,3,0,1,1
M000309,785,4,Electronics,Delhi,1,1,1,1
M000310,1134,7,Education/Tuition,Ahmedabad,2,0,1,0
M000311,1282,3,Clothing/Textile,Chennai,1,0,1,1
M000312,101,0,Kirana/Grocery,Mumbai,1,1,1,0
M000313,1456,3,Clothing/Textile,Indore,3,0,1,0
M000314,1271,4,Electronics,Nagpur,3,0,1,0
M000315,481,1,Restaurant/Dhaba,Jaipur,2,1,1,0
M000316,940,3,Clothing/Textile,Pune,2,1,1,0
M000317,396,2,Medical/Pharmacy,Chennai,1,0,0,0
M000318,855,7,Education/Tuition,Hyderabad,1,0,1,0
M000319,699,4,Electronics,Mumbai,1,1,1,0
M000320,1365,0,Kirana/Grocery,Surat,2,1,1,0
M000321,1351,6,Services/Salon,Pune,2,0,1,1
M000322,1077,6,Services/Salon,Jaipur,2,1,1,1
M000323,139,4,Electronics,Chennai,1,0,1,1
M000324,81,5,Transport/Auto,Nagpur,3,1,1,0
M000325,1343,1,Restaurant/Dhaba,Lucknow,2,1,1,1
M000326,1497,0,Kirana/Grocery,Surat,2,1,1,1
M000327,496,1,Restaurant/Dhaba,Pune,2,0,1,0
M000328,1312,6,Services/Salon,Ahmedabad,2,1,1,0
M000329,1377,1,Restaurant/Dhaba,Delhi,1,1,1,0
M000330,847,2,Medical/Pharmacy,Lucknow,2,1,1,1
M000331,1391,7,Education/Tuition,Kochi,3,1,1,1
M000332,816,6,Services/Salon,Bengaluru,1,1,1,1
M000333,585,3,Clothing/Textile,Delhi,1,1,1,1
M000334,958,2,Medical/Pharmacy,Bengaluru,1,0,1,0
M000335,1475,2,Medical/Pharmacy,Hyderabad,1,1,1,1
M000336,288,5,Transport/Auto,Indore,3,1,1,1
M000337,94,2,Medical/Pharmacy,Surat,2,1,1,1
M000338,192,0,Kirana/Grocery,Pune,2,1,1,0
M000339,1217,3,Clothing/Textile,Bengaluru,1,0,1,0
M000340,68,3,Clothing/Textile,Lucknow,2,1,1,0
M000341,694,6,Services/Salon,Ahmedabad,2,1,1,1
M000342,349,0,Kirana/Grocery,Bengaluru,1,1,1,0
M000343,389,2,Medical/Pharmacy,Lucknow,2,1,0,1
M000344,298,2,Medical/Pharmacy,Pune,2,1,1,0
M000345,353,1,Restaurant/Dhaba,Ahmedabad,2,1,1,1
M000346,355,6,Services/Salon,Surat,2,1,1,1
M000347,286,6,Services/Salon,Mumbai,1,1,1,0
M000348,229,1,Restaurant/Dhaba,Lucknow,2,1,1,1
M000349,1491,5,Transport/Auto,Ahmedabad,2,0,1,1
M000350,639,4,Electronics,Ahmedabad,2,1,1,0
M000351,1157,1,Restaurant/Dhaba,Varanasi,3,0,1,0
M000352,1425,3,Clothing/Textile,Ahmedabad,2,0,1,0
M000353,934,7,Education/Tuition,Chennai,1,1,1,1
M000354,193,0,Kirana/Grocery,Mumbai,1,0,1,1
M000355,1166,2,Medical/Pharmacy,Surat,2,1,1,0
M000356,644,4,Electronics,Mumbai,1,1,1,1
M000357,135,1,Restaurant/Dhaba,Pune,2,1,1,1
M000358,728,6,Services/Salon,Bhopal,3,0,1,0
M000359,393,4,Electronics,Lucknow,2,1,1,0
M000360,1074,0,Kirana/Grocery,Jaipur,2,1,1,0
M000361,689,7,Education/Tuition,Jaipur,2,1,1,0
M000362,1182,0,Kirana/Grocery,Surat,2,1,1,0
M000363,728,6,Services/Salon,Lucknow,2,1,1,0
M000364,1252,4,Electronics,Indore,3,0,1,0
M000365,776,4,Electronics,Surat,2,1,1,0
M000366,990,5,Transport/Auto,Nagpur,3,1,1,0
M000367,1473,4,Electronics,Kochi,3,1,1,1
M000368,1279,2,Medical/Pharmacy,Mumbai,1,1,1,0
M000369,959,7,Education/Tuition,Chennai,1,1,1,0
M000370,238,7,Education/Tuition,Chennai,1,0,1,0
M000371,1298,7,Education/Tuition,Bengaluru,1,0,1,1
M000372,1341,3,Clothing/Textile,Bengaluru,1,0,1,1
M000373,1119,1,Restaurant/Dhaba,Ahmedabad,2,0,1,0
M000374,1206,6,Services/Salon,Delhi,1,1,1,1
M000375,520,1,Restaurant/Dhaba,Hyderabad,1,0,1,0
M000376,1488,7,Education/Tuition,Varanasi,3,0,1,0
M000377,732,1,Restaurant/Dhaba,Delhi,1,0,1,1
M000378,1271,4,Electronics,Nagpur,3,0,1,0
M000379,1482,6,Services/Salon,Chennai,1,1,1,0
M000380,531,4,Electronics,Hyderabad,1,1,1,1
M000381,695,5,Transport/Auto,Ahmedabad,2,1,1,0
M000382,250,4,Electronics,Lucknow,2,1,1,0
M000383,464,5,Transport/Auto,Kochi,3,1,1,1
M000384,309,5,Transport/Auto,Ahmedabad,2,0,1,0
M000385,1145,2,Medical/Pharmacy,Varanasi,3,0,1,0
M000386,553,2,Medical/Pharmacy,Mumbai,1,1,1,1
M000387,1192,2,Medical/Pharmacy,Hyderabad,1,1,1,1
M000388,696,7,Education/Tuition,Varanasi,3,1,1,0
M000389,1076,2,Medical/Pharmacy,Bhopal,3,1,1,1
M000390,1470,0,Kirana/Grocery,Nagpur,3,1,1,1
M000391,761,2,Medical/Pharmacy,Ahmedabad,2,1,0,1
M000392,377,2,Medical/Pharmacy,Lucknow,2,1,1,0
M000393,1290,2,Medical/Pharmacy,Bhopal,3,1,1,0
M000394,794,5,Transport/Auto,Mumbai,1,1,1,1
M000395,963,1,Restaurant/Dhaba,Bhopal,3,0,1,1
M000396,212,6,Services/Salon,Bhopal,3,1,1,1
M000397,537,1,Restaurant/Dhaba,Pune,2,0,1,1
M000398,227,1,Restaurant/Dhaba,Varanasi,3,1,1,0
M000399,1176,3,Clothing/Textile,Indore,3,1,1,0
M000400,410,0,Kirana/Grocery,Chennai,1,1,1,1
M000401,854,5,Transport/Auto,Indore,3,0,1,1
M000402,1059,4,Electronics,Ahmedabad,2,1,1,0
M000403,1357,5,Transport/Auto,Varanasi,3,0,1,0
M000404,221,2,Medical/Pharmacy,Mumbai,1,0,1,1
M000405,1429,1,Restaurant/Dhaba,Kochi,3,0,1,0
M000406,554,5,Transport/Auto,Surat,2,1,1,0
M000407,1089,0,Kirana/Grocery,Delhi,1,0,1,0
M000408,1123,2,Medical/Pharmacy,Kochi,3,0,0,1
M000409,318,3,Clothing/Textile,Delhi,1,0,1,1
M000410,134,4,Electronics,Hyderabad,1,0,1,1
M000411,342,2,Medical/Pharmacy,Indore,3,1,1,0
M000412,1108,6,Services/Salon,Nagpur,3,1,1,1
M000413,1160,4,Electronics,Lucknow,2,1,1,1
M000414,336,5,Transport/Auto,Pune,2,1,1,1
M000415,850,2,Medical/Pharmacy,Ahmedabad,2,0,1,1
M000416,65,3,Clothing/Textile,Chennai,1,0,1,0
M000417,1186,5,Transport/Auto,Chennai,1,0,1,1
M000418,916,0,Kirana/Grocery,Ahmedabad,2,0,1,0
M000419,1078,4,Electronics,Varanasi,3,1,1,0
M000420,1090,4,Electronics,Varanasi,3,0,1,1
M000421,1072,0,Kirana/Grocery,Indore,3,1,1,0
M000422,64,7,Education/Tuition,Chennai,1,1,1,1
M000423,1416,7,Education/Tuition,Pune,2,1,1,1
M000424,1471,6,Services/Salon,Delhi,1,1,1,1
M000425,1483,7,Education/Tuition,Ahmedabad,2,0,1,1
M000426,496,4,Electronics,Ahmedabad,2,1,1,0
M000427,926,7,Education/Tuition,Kochi,3,0,1,0
M000428,228,5,Transport/Auto,Pune,2,1,1,0
M000429,797,1,Restaurant/Dhaba,Chennai,1,0,1,1
M000430,1264,6,Services/Salon,Bengaluru,1,0,1,0
M000431,270,0,Kirana/Grocery,Varanasi,3,0,1,1
M000432,1223,3,Clothing/Textile,Lucknow,2,1,1,0
M000433,323,6,Services/Salon,Mumbai,1,0,1,0
M000434,951,2,Medical/Pharmacy,Bengaluru,1,1,0,1
M000435,1368,7,Education/Tuition,Surat,2,0,1,0
M000436,1180,2,Medical/Pharmacy,Delhi,1,1,1,0
M000437,497,0,Kirana/Grocery,Kochi,3,1,1,1
M000438,396,7,Education/Tuition,Jaipur,2,1,1,1
M000439,1074,1,Restaurant/Dhaba,Bengaluru,1,1,1,1
M000440,345,5,Transport/Auto,Mumbai,1,0,1,1
M000441,787,3,Clothing/Textile,Varanasi,3,1,1,0
M000442,1143,2,Medical/Pharmacy,Ahmedabad,2,0,1,0
M000443,1457,2,Medical/Pharmacy,Pune,2,1,1,0
M000444,480,5,Transport/Auto,Kochi,3,0,1,1
M000445,807,1,Restaurant/Dhaba,Kochi,3,1,1,1
M000446,937,4,Electronics,Kochi,3,1,1,0
M000447,1203,6,Services/Salon,Bhopal,3,0,1,0
M000448,475,0,Kirana/Grocery,Lucknow,2,0,1,0
M000449,986,1,Restaurant/Dhaba,Mumbai,1,1,1,0
M000450,109,1,Restaurant/Dhaba,Varanasi,3,1,1,0
M000451,1070,1,Restaurant/Dhaba,Lucknow,2,1,1,1
