src,dst,weight
M003551,M008649,4439.18
M001261,M000256,449.85
M005437,M003158,1542.65
M005357,M005792,258.16
M008202,M005537,110.09
M004059,M008416,4458.48
M002492,M006193,6459.92
M002830,M008018,210.44
M000497,M005299,1276.19
M009419,M004344,65.17
M009071,M006469,2933.75
M004048,M004177,896.23
M008268,M002954,922.62
M001650,M005845,13082.43
M004924,M009662,1304.81
M008698,M007639,165.9
M000004,M000749,596.14
M001036,M002627,5827.0
M002566,M004103,2395.63
M004236,M000926,9381.81
M007148,M005651,515.64
M008704,M008252,8557.41
M002840,M006439,3368.2
M004705,M003811,374.36
M002853,M006379,16116.3
M008986,M000550,1403.0
M003975,M005740,259.34
M003513,M004966,270.54
M000392,M006928,102.57
M004692,M005959,681.66
M004135,M007498,5424.57
M003417,M006582,183.45
M005678,M003290,2764.72
M005268,M003080,6560.25
M004288,M003115,1607.29
M008595,M000968,1435.12
M006677,M005805,459.31
M000988,M005314,10114.16
M001684,M008893,749.72
M004662,M006882,941.77
M007503,M007100,1718.71
M008218,M001230,323.01
M006644,M003598,2311.08
M008367,M004879,28.34
M002345,M000877,3516.35
M009656,M006480,3625.18
M000629,M003304,3083.07
M000675,M003248,1085.03
M001847,M008129,1134.97
M003146,M001906,1135.35
M000711,M008621,1386.42
M005076,M004054,1412.94
M002325,M006937,749.9
M004783,M002488,506.07
M006227,M005621,237.18
M006860,M008056,79.58
M004234,M001451,606.48
M006849,M005411,91.65
M004555,M009286,1402.86
M000051,M004249,542.96
M005098,M004726,416.94
M004403,M009450,218.39
M000262,M000522,5011.63
M004972,M005904,1764.24
M001948,M002294,2511.26
M001358,M004507,2901.87
M001186,M006627,660.95
M002428,M000371,4302.79
M005175,M006006,2787.0
M009484,M000577,778.51
M005696,M008283,1249.03
M006233,M005528,793.49
M009668,M004187,1801.16
M004028,M003534,138.85
M005832,M009526,183.28
M004489,M001315,301.68
M008248,M006736,1007.9
M007649,M000140,1022.61
M008330,M004861,624.95
M000852,M006689,523.48
M005792,M001940,15937.47
M000650,M003762,10416.72
M009434,M009392,1811.16
M006997,M008256,2185.91
M005109,M001553,1753.51
M006683,M008403,168.15
M001650,M002439,2427.51
M001805,M004919,334.34
M001575,M006075,190.31
M000219,M001444,1177.86
M008450,M009833,9748.51
M000156,M007397,14968.06
M003196,M003275,1299.5
M003061,M005865,5808.24
M007543,M003096,4449.67
M005455,M000459,6037.86
M000017,M008409,221.95
M005335,M001084,26.66
M009356,M000175,966.75
M001700,M003911,5377.49
M000290,M001657,3790.48
M003455,M007441,9072.31
M006220,M005389,528.91
M003846,M008090,1078.35
M009019,M002444,1720.55
M001836,M009137,666.89
M004965,M003368,1660.4
M006979,M005318,537.85
M005038,M005650,5997.61
M006668,M009955,2620.86
M008295,M006427,1660.57
M007052,M005003,1204.73
M007905,M001567,701.43
M001970,M008312,3900.67
M000706,M008304,206.05
M009722,M001861,2163.3
M008600,M009067,6531.39
M002484,M006948,2197.98
M008016,M009003,1188.87
M004057,M003321,214.68
M004033,M009767,1449.67
M000585,M006437,225.04
M005435,M008887,179.97
M006438,M002604,8788.48
M008913,M006105,1377.05
M005800,M000273,138.23
M000524,M005109,7355.42
M001920,M007940,249.9
M004465,M008450,448.43
M009367,M001935,2059.82
M004913,M003157,98.36
M005883,M004990,2881.08
M001759,M002121,4219.79
M009518,M009148,3428.53
M000759,M004939,2692.64
M000678,M001250,459.13
M002916,M007909,1711.39
M004603,M004657,546.69
M007178,M002403,3661.49
M002531,M005820,500.67
M002347,M006496,4755.99
M002041,M005224,252.25
M002394,M000688,735.89
M009071,M007895,326.36
M000078,M008020,1368.06
M008807,M009095,251.62
M004455,M002046,128.28
M000285,M004189,595.22
M007984,M000030,1755.4
M000085,M002067,741.48
M005420,M009733,8249.35
M004487,M006990,1090.49
M005789,M001282,448.91
M004141,M001878,189.12
M007748,M007001,34839.31
M005316,M009197,192.21
M008557,M002595,3607.58
M009586,M001246,1711.21
M002889,M002442,688.66
M002567,M004418,737.25
M008477,M005112,1546.13
M008694,M007031,641.51
M002789,M000769,2013.24
M000683,M000230,1336.22
M007946,M001784,438.35
M007772,M002612,8690.93
M004793,M003134,243.67
M002236,M006823,2286.14
M004306,M002587,1307.95
M003742,M000174,167.05
M009675,M007497,2578.68
M009104,M001563,615.65
M001124,M002370,1490.1
M009263,M002946,1985.38
M001971,M003696,249.45
M004581,M002151,4371.96
M009421,M002392,921.11
M008393,M005519,61.06
M008038,M004174,2591.57
M006815,M000728,3314.25
M001244,M005830,1446.11
M004400,M006595,72.01
M007541,M004435,5831.73
M009375,M008376,383.57
M000526,M003477,14888.06
M006369,M006202,3180.6
M000032,M001486,207.24
M007116,M001286,2346.35
M001700,M006907,107.76
M008750,M008646,792.59
M007945,M000579,947.89
M002176,M000436,941.63
M001671,M002472,1552.96
M000917,M006094,929.6
M003694,M004198,434.12
M006059,M004927,662.3
M007301,M000286,4829.1
M008140,M001066,2170.51
M000515,M006033,385.19
M006986,M007071,26023.42
M009903,M007286,462.56
M006823,M002450,1113.75
M005188,M009807,1593.78
M002945,M000156,15484.34
M000836,M003541,4203.69
M001666,M003333,1228.51
M008831,M008704,1655.92
M008073,M008777,4340.95
M009608,M005050,271.33
M004874,M007366,591.75
M008284,M005534,1032.24
M002705,M004983,476.32
M007835,M002794,413.67
M002166,M008717,252.26
M004115,M003508,62623.99
M007287,M003119,34.2
M004764,M007131,4164.1
M006469,M004938,6271.1
M007426,M008129,3214.64
M006796,M005273,6320.43
M005787,M004859,1420.28
M004030,M007959,780.95
M007335,M005120,2705.88
M007668,M005251,14465.04
M002455,M005026,1808.47
M008613,M001462,1016.75
M000872,M008851,818.23
M004464,M005333,2817.56
M008402,M002858,2650.22
M009560,M006996,185.54
M005402,M005871,15170.87
M006302,M005614,113.31
M005881,M008716,1332.99
M004446,M003549,504.66
M009506,M005721,3013.9
M006896,M004719,1308.47
M000502,M001589,1933.37
M001153,M003331,463.24
M002723,M004292,198.78
M006539,M005749,336.43
M004863,M009404,12333.05
M005030,M001456,507.03
M004370,M007482,3302.56
M006844,M007653,2622.38
M009669,M005882,16080.15
M007808,M009789,6091.49
M004956,M001522,26858.15
M008631,M004142,3732.07
M003960,M004276,13.67
M006039,M006756,11694.54
M001542,M007571,865.3
M005568,M002240,1285.48
M004135,M001997,657.42
M000001,M008648,4630.26
M009590,M003580,3883.97
M005772,M009415,92.1
M003409,M009509,4955.36
M005375,M005153,2981.59
M000263,M009254,2019.56
M006681,M002081,95.23
M001122,M002075,760.82
M000109,M001753,9871.16
M007682,M007809,1164.43
M004519,M009925,691.69
M007314,M009705,433.45
M004436,M003785,227.63
M006021,M006822,342.89
M003244,M001774,10922.95
M005444,M005190,606.83
M009967,M002361,931.4
M006483,M000351,2716.6
M003139,M006135,1992.33
M007336,M009547,698.08
M005969,M005344,376.01
M008724,M002243,362.39
M001804,M000730,1501.31
M008968,M000176,2223.56
M006413,M008953,1380.57
M008444,M008659,241.32
M001097,M006857,1506.34
M004967,M007382,28110.95
M000247,M003438,237.92
M007286,M003572,919.26
M007630,M005113,927.97
M004705,M008252,5540.62
M009338,M002732,558.55
M004923,M007140,385.51
M001807,M007071,2280.54
M006488,M003124,48.39
M002080,M005029,191.89
M000757,M003362,1085.19
M005667,M007773,2877.64
M003357,M008645,15131.6
M003771,M006861,7121.58
M006308,M001439,2299.53
M004305,M007372,153.54
M006544,M007254,1054.64
M004535,M006248,105.77
M004800,M009278,189.92
M003736,M000941,279.96
M009630,M007009,326.37
M007269,M000362,268.61
M006521,M000704,3620.81
M005374,M000268,499.06
M004318,M003209,1516.56
M007516,M001071,16794.27
M001565,M000525,1326.25
M003700,M007019,1563.94
M004567,M008968,1686.87
M001947,M007430,7949.63
M000075,M004416,1340.77
M001448,M001277,2369.13
M003042,M006614,853.81
M003431,M009325,303.01
M000271,M006110,5036.4
M003743,M004739,463.78
M001669,M004923,3349.9
M000353,M008953,23.17
M007032,M009738,5519.58
M002498,M004949,547.0
M009678,M005233,444.75
M008824,M002298,3763.48
M006626,M006770,24.92
M004906,M001011,1681.48
M006391,M009221,6164.07
M000501,M002019,578.82
M007592,M002082,1332.41
M004178,M005299,10917.17
M009765,M005832,704.62
M000949,M005663,527.68
M005842,M006769,74.79
M000479,M007382,1356.88
M006768,M001652,702.89
M000490,M001536,549.75
M004926,M004318,8268.28
M003427,M006807,9542.92
M009851,M003680,977.63
M004401,M004157,290.68
M009800,M001220,1983.57
M006462,M007775,159.87
M004010,M003034,7045.35
M008999,M008698,3465.87
M007470,M004325,5358.31
M001584,M004859,1140.5
M005873,M005003,375.01
M008286,M008697,425.83
M009963,M008484,697.12
M008792,M006972,3369.82
M002338,M002774,288.97
M002897,M006059,2181.27
M008537,M008670,550.66
M001742,M005959,2967.39
M007894,M007067,4974.0
M007081,M002804,117.77
M005630,M006357,10513.54
M005459,M005641,2181.73
M007280,M002766,9886.77
M005138,M004098,1973.01
M003212,M000487,393.59
M007745,M002430,351.99
M000846,M007936,3275.56
M007215,M005354,3803.71
M006593,M003623,41.41
M003113,M002680,8612.79
M002940,M004219,513.6
M009758,M006322,1667.31
M006919,M003859,4695.9
M003369,M008031,3919.85
M006110,M006125,21573.44
M007519,M004863,1354.06
M007813,M005221,584.81
M001439,M007718,2537.17
M000056,M004183,1227.95
M001021,M009919,95.53
M001171,M004582,3354.19
M003986,M003610,1460.88
M006058,M006583,440.72
M002615,M006172,1547.56
M001278,M006758,1512.69
M003685,M001919,9461.35
M003703,M004765,82.88
M000641,M004049,5099.94
M000496,M007832,8731.32
M005551,M000672,4265.6
M006217,M002778,2167.38
M007791,M001913,479.54
M008844,M009771,80.33
M003110,M005178,515.97
M009180,M006906,11693.75
M000032,M003554,183.37
M007320,M000982,1284.5
M007411,M009559,710.32
M008026,M000118,477.65
M003381,M005934,25826.73
M002001,M001803,3156.73
M008737,M007966,942.15
M009357,M007193,1315.61
M001600,M009174,1202.18
M005834,M007926,192.2
M004857,M002689,257.47
M006701,M008906,2448.93
M008719,M008925,677.86
M005696,M005041,186.55
M007503,M003435,1797.19
M002914,M009488,3712.71
M004701,M002111,788.36
M002699,M009199,890.68
M004417,M006912,331.9
M006379,M000321,316.7
M004305,M004911,258.16
M008270,M000148,1123.8
M005338,M002053,3307.57
M005357,M004762,2292.98
M009353,M007609,662.89
M002846,M006099,1603.83
M002217,M001541,1289.51
M006677,M004215,2620.73
M000469,M004606,1672.7
M008302,M001138,3706.97
M007373,M000786,1087.75
M003449,M005942,489.48
M007193,M006069,5819.38
M007286,M004529,733.27
M005815,M002979,438.72
M005769,M006527,1255.65
M001063,M001048,6198.14
M003295,M001933,2008.81
M007772,M005245,465.31
M007185,M004468,394.8
M000188,M000904,2260.13
M000145,M008149,3583.22
M003622,M008682,559.09
M000188,M003136,755.42
M000137,M007596,287.56
M006150,M003225,12170.86
M009919,M007450,228.45
M000039,M002864,105372.2
M006155,M001454,1235.85
M009721,M009229,1809.35
M006123,M006358,391.38
M002873,M008020,779.53
M001511,M001353,3320.08
M000588,M009270,2624.97
M004590,M002353,1286.0
M006268,M003392,1380.99
M007811,M002551,180.29
M005108,M004624,1917.93
M002435,M009462,3431.2
M009571,M003845,829.95
M003282,M007670,6559.74
M003955,M000446,246.6
M009431,M004377,99.25
M003067,M000524,540.76
M002643,M006036,528.02
M004859,M003590,3480.97
M003303,M004934,681.51
M009011,M008088,2155.47
M000929,M001009,3038.12
M004139,M005579,3954.51
M003981,M004495,7596.49
M005417,M009455,2381.35
M001270,M006250,1323.54
M006021,M001805,264.24
M003836,M003924,74.85
M009101,M008100,3658.48
M007208,M004243,8430.92
M005940,M004682,152.0
M006622,M006413,3954.43
M009678,M002716,1314.1
M004682,M005879,950.43
M006075,M006182,990.26
M002179,M004740,310.58
M000088,M007591,4614.31
M007029,M002709,501.38
M003376,M006483,691.89
M005460,M002577,192.8
M002762,M003110,88.88
M007671,M001609,922.46
M003182,M005971,117230.62
M003853,M002917,992.68
M001421,M009968,2361.4
M001052,M003318,204.24
M009263,M008665,171.32
M001193,M008484,2366.95
M004058,M002124,279.42
M008159,M001669,458.67
M007052,M007518,418.98
M003478,M000778,922.39
M001077,M009794,2559.54
M002587,M008134,1187.05
M003659,M000256,3473.98
M004118,M000892,1038.27
M005182,M004018,35550.81
M006788,M006420,291.5
M007068,M000486,1212.28
M000503,M006950,939.81
M002709,M000099,3112.76
M001982,M006986,33.44
M000523,M006525,3438.71
M003920,M000998,81.28
M007458,M005404,27.25
M006086,M007988,5082.79
M000197,M000080,241.66
M000035,M001805,1888.69
M006061,M007187,3340.29
M002536,M000763,507.93
M009790,M003645,102.46
M007319,M002555,3145.7
M007248,M003320,51206.71
M000669,M002306,159.27
M001312,M001938,8150.82
M002362,M006395,187.33
M005633,M000718,341.6
M006731,M009415,3217.25
M003124,M002409,295.75
M005222,M003785,112.24
M009677,M000930,8239.6
M005472,M006114,2011.35
M009429,M001725,2780.31
M009155,M001340,264.55
M004796,M008798,797.6
M008380,M007297,3628.52
M008693,M005983,8085.76
M004035,M008724,19178.31
M009144,M009684,170.99
M003527,M007313,1485.51
M006000,M001993,3682.93
M002578,M005498,172.21
M000388,M002698,436.5
M004753,M008878,380.55
M009363,M003655,1965.15
M006756,M006966,98.39
M009774,M004885,4076.4
M004813,M009926,1188.82
M005007,M000242,693.51
M005259,M005496,280.11
M001337,M004374,775.09
M009186,M006492,1134.93
M005100,M005092,6626.44
M008804,M008688,6070.76
M007117,M003393,171.78
M006719,M008780,377.59
M001774,M002033,2313.82
M007294,M003861,314.0
M009953,M009793,2607.33
M008168,M007143,358.69
M004853,M001654,608.62
M008704,M004114,3311.38
M004960,M005794,7006.54
M006411,M009886,361.62
M009736,M001281,133.07
M007801,M005417,24.76
M005250,M007990,2243.81
M002983,M005344,127.92
M000024,M008297,860.46
M003700,M000963,6022.25
M007711,M001506,5033.22
M005939,M000676,19261.39
M008892,M006928,85.17
M008945,M005944,23885.14
M001976,M008015,2805.98
M008171,M004932,787.92
M001625,M003964,6596.45
M000954,M007822,1149.56
M008886,M004180,334.64
M001463,M000550,1618.81
M003960,M004259,516.7
M004203,M002515,848.51
M009178,M007563,1060.66
M002737,M001040,110.29
M009141,M007458,4475.54
M008950,M006241,298.64
M002941,M000681,460.71
M008953,M002624,5938.35
M004546,M005462,733.75
M005661,M009244,1299.56
M000080,M001641,1155.65
M006416,M002045,1117.61
M004329,M007825,1014.57
M001082,M006400,5748.03
M004401,M004706,661.46
M008482,M002124,509.92
M000719,M008443,899.22
M007159,M000340,491.32
M001081,M008148,74.1
M002176,M004418,1871.28
M000550,M007625,189.32
M008536,M007606,724.37
M001167,M005866,425.37
M000302,M002985,92209.8
M007207,M002107,1211.56
M008789,M003153,7139.79
M009019,M007087,1137.04
M004655,M006843,1157.15
M005556,M004611,147.58
M004834,M009094,1631.15
M001799,M006716,626.63
M001299,M004313,485.39
M008104,M001505,246.15
M008495,M001937,2361.43
M006421,M001986,3018.9
